RuleSet,Category,Url
.NET Quality,Design,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/design-warnings
.NET Quality,Documentation,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/documentation-warnings
.NET Quality,Globalization,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/globalization-warnings
.NET Quality,Interoperability,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/interoperability-warnings
.NET Quality,Maintainability,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/maintainability-warnings
.NET Quality,Naming,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/naming-warnings
.NET Quality,Performance,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/performance-warnings
.NET Quality,Reliability,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/reliability-warnings
.NET Quality,Security,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/security-warnings
.NET Quality,SingleFile,https://learn.microsoft.com/en-us/dotnet/core/deploying/single-file/warnings/overview
.NET Quality,Usage,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/quality-rules/usage-warnings
.NET Style,,https://learn.microsoft.com/en-us/dotnet/fundamentals/code-analysis/style-rules/
StyleCop,Alternative,https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/AlternativeRules.md
StyleCop,Documentation,https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/DocumentationRules.md
StyleCop,Layout,https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/LayoutRules.md
StyleCop,Maintainability,https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/MaintainabilityRules.md
StyleCop,Naming,https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/NamingRules.md
StyleCop,Ordering,https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/OrderingRules.md
StyleCop,Readability,https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/ReadabilityRules.md
StyleCop,Spacing,https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SpacingRules.md
StyleCop,Special,https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SpecialRules.md
xUnit,Assertion,https://xunit.net/xunit.analyzers/rules/#assertion-analyzers-2xxx
xUnit,Extensibility,https://xunit.net/xunit.analyzers/rules/#extensibility-analyzers-3xxx
xUnit,Usage,https://xunit.net/xunit.analyzers/rules/#usage-analyzers-1xxx
