Name,Id,RuleSet,Category,Default,Value,Reasoning
csharp_indent_block_contents,IDE0055,.NET Style,,true,true,
csharp_indent_braces,IDE0055,.NET Style,,false,false,
csharp_indent_case_contents,IDE0055,.NET Style,,true,true,
csharp_indent_case_contents_when_block,IDE0055,.NET Style,,true,true,
csharp_indent_labels,IDE0055,.NET Style,,one_less_than_current,one_less_than_current,
csharp_indent_switch_labels,IDE0055,.NET Style,,true,true,
csharp_new_line_before_catch,IDE0055,.NET Style,,true,true,
csharp_new_line_before_else,IDE0055,.NET Style,,true,true,
csharp_new_line_before_finally,IDE0055,.NET Style,,true,true,
csharp_new_line_before_members_in_anonymous_types,IDE0055,.NET Style,,true,true,
csharp_new_line_before_members_in_object_initializers,IDE0055,.NET Style,,true,true,
csharp_new_line_before_open_brace,IDE0055,.NET Style,,all,all,
csharp_new_line_between_query_expression_clauses,IDE0055,.NET Style,,true,true,
csharp_prefer_braces,IDE0011,.NET Style,,true,true,
csharp_prefer_simple_default_expression,IDE0034,.NET Style,,true,true,
csharp_prefer_simple_using_statement,IDE0063,.NET Style,,true,true,
csharp_prefer_static_anonymous_function,IDE0320,.NET Style,,true,true,
csharp_prefer_static_local_function,IDE0062,.NET Style,,true:suggestion,true,
csharp_prefer_system_threading_lock,IDE0330,.NET Style,,true,true,
csharp_preferred_modifier_order,IDE0036,.NET Style,,"public, private, protected, internal, file, static, extern, new, virtual, abstract, sealed, override, readonly, unsafe, required, volatile, async","public,private,protected,internal,static,extern,new,virtual,abstract,sealed,override,readonly,unsafe,volatile,async",
csharp_preserve_single_line_blocks,IDE0055,.NET Style,,true,true,
csharp_preserve_single_line_statements,IDE0055,.NET Style,,true,false,
csharp_space_after_cast,IDE0055,.NET Style,,false,false,
csharp_space_after_colon_in_inheritance_clause,IDE0055,.NET Style,,true,true,
csharp_space_after_comma,IDE0055,.NET Style,,true,true,
csharp_space_after_dot,IDE0055,.NET Style,,false,false,
csharp_space_after_keywords_in_control_flow_statements,IDE0055,.NET Style,,true,true,
csharp_space_after_semicolon_in_for_statement,IDE0055,.NET Style,,true,true,
csharp_space_around_binary_operators,IDE0055,.NET Style,,before_and_after,before_and_after,
csharp_space_around_declaration_statements,IDE0055,.NET Style,,false,false,
csharp_space_before_colon_in_inheritance_clause,IDE0055,.NET Style,,true,true,
csharp_space_before_comma,IDE0055,.NET Style,,false,false,
