Id,Title,Group,Category,Severity,Reasoning
CA1000,Do not declare static members on generic types,.NET Quality,Design,Error,
CA1001,Types that own disposable fields should be disposable,.NET Quality,Design,Error,
CA1002,Do not expose generic lists,.NET Quality,Design,Error,
CA1003,Use generic event handler instances,.NET Quality,Design,Error,
CA1005,Avoid excessive parameters on generic types,.NET Quality,Design,Error,
CA1008,Enums should have zero value,.NET Quality,Design,Error,
CA1010,Generic interface should also be implemented,.NET Quality,Design,Error,
CA1012,Abstract types should not have public constructors,.NET Quality,Design,Error,
CA1014,Mark assemblies with CLSCompliant,.NET Quality,Design,Error,
CA1016,Mark assemblies with assembly version,.NET Quality,Design,Error,
CA1017,Mark assemblies with ComVisible,.NET Quality,Design,Error,
CA1018,Mark attributes with AttributeUsageAttribute,.NET Quality,Design,Error,
CA1019,Define accessors for attribute arguments,.NET Quality,Design,Error,
CA1021,Avoid out parameters,.NET Quality,Design,Error,
CA1024,Use properties where appropriate,.NET Quality,Design,Error,
CA1027,Mark enums with FlagsAttribute,.NET Quality,Design,Error,
CA1028,Enum Storage should be Int32,.NET Quality,Design,Error,
CA1030,Use events where appropriate,.NET Quality,Design,Error,
CA1031,Do not catch general exception types,.NET Quality,Design,Error,
CA1032,Implement standard exception constructors,.NET Quality,Design,Disabled,
CA1033,Interface methods should be callable by child types,.NET Quality,Design,Error,
CA1034,Nested types should not be visible,.NET Quality,Design,Error,
CA1036,Override methods on comparable types,.NET Quality,Design,Error,
CA1040,Avoid empty interfaces,.NET Quality,Design,Disabled,
CA1041,Provide ObsoleteAttribute message,.NET Quality,Design,Error,
CA1043,Use Integral Or String Argument For Indexers,.NET Quality,Design,Error,
CA1044,Properties should not be write only,.NET Quality,Design,Error,
CA1045,Do not pass types by reference,.NET Quality,Design,Error,
CA1046,Do not overload equality operator on reference types,.NET Quality,Design,Disabled,
CA1050,Declare types in namespaces,.NET Quality,Design,Error,
CA1051,Do not declare visible instance fields,.NET Quality,Design,Disabled,
CA1052,Static holder types should be Static or NotInheritable,.NET Quality,Design,Error,
CA1054,URI-like parameters should not be strings,.NET Quality,Design,Error,
CA1055,URI-like return values should not be strings,.NET Quality,Design,Error,
CA1056,URI-like properties should not be strings,.NET Quality,Design,Error,
CA1058,Types should not extend certain base types,.NET Quality,Design,Error,
CA1060,Move pinvokes to native methods class,.NET Quality,Design,Error,
CA1061,Do not hide base class methods,.NET Quality,Design,Error,
CA1062,Validate arguments of public methods,.NET Quality,Design,Error,
CA1063,Implement IDisposable Correctly,.NET Quality,Design,Error,
CA1064,Exceptions should be public,.NET Quality,Design,Error,
CA1065,Do not raise exceptions in unexpected locations,.NET Quality,Design,Error,
CA1066,Implement IEquatable when overriding Object.Equals,.NET Quality,Design,Error,
CA1067,Override Object.Equals(object) when implementing IEquatable<T>,.NET Quality,Design,Error,
CA1068,CancellationToken parameters must come last,.NET Quality,Design,Error,
CA1069,Enums values should not be duplicated,.NET Quality,Design,Error,
CA1070,Do not declare event fields as virtual,.NET Quality,Design,Error,
CA1200,Avoid using cref tags with a prefix,.NET Quality,Documentation,Error,
CA1303,Do not pass literals as localized parameters,.NET Quality,Globalization,Error,
CA1304,Specify CultureInfo,.NET Quality,Globalization,Error,
CA1305,Specify IFormatProvider,.NET Quality,Globalization,Disabled,
CA1307,Specify StringComparison for clarity,.NET Quality,Globalization,Error,
CA1308,Normalize strings to uppercase,.NET Quality,Globalization,Error,
CA1309,Use ordinal string comparison,.NET Quality,Globalization,Error,
CA1310,Specify StringComparison for correctness,.NET Quality,Globalization,Disabled,
CA1311,Specify a culture or use an invariant version,.NET Quality,Globalization,Hidden,
CA2101,Specify marshaling for P/Invoke string arguments,.NET Quality,Globalization,Error,
CA1401,P/Invokes should not be visible,.NET Quality,Interoperability,Error,
CA1416,Validate platform compatibility,.NET Quality,Interoperability,Error,
CA1417,Do not use 'OutAttribute' on string parameters for P/Invokes,.NET Quality,Interoperability,Error,
CA1418,Use valid platform string,.NET Quality,Interoperability,Error,
CA1419,Provide a parameterless constructor that is as visible as the containing type for concrete types derived from 'System.Runtime.InteropServices.SafeHandle',.NET Quality,Interoperability,Error,
CA1420,"Property, type, or attribute requires runtime marshalling",.NET Quality,Interoperability,Error,
CA1421,This method uses runtime marshalling even when the 'DisableRuntimeMarshallingAttribute' is applied,.NET Quality,Interoperability,Info,
CA1422,Validate platform compatibility,.NET Quality,Interoperability,Error,
CA1501,Avoid excessive inheritance,.NET Quality,Maintainability,Error,
CA1502,Avoid excessive complexity,.NET Quality,Maintainability,Error,
CA1505,Avoid unmaintainable code,.NET Quality,Maintainability,Error,
CA1506,Avoid excessive class coupling,.NET Quality,Maintainability,Error,
CA1507,Use nameof to express symbol names,.NET Quality,Maintainability,Error,
CA1508,Avoid dead conditional code,.NET Quality,Maintainability,Error,
CA1509,Invalid entry in code metrics rule specification file,.NET Quality,Maintainability,Error,
CA1510,Use ArgumentNullException throw helper,.NET Quality,Maintainability,Error,
CA1511,Use ArgumentException throw helper,.NET Quality,Maintainability,Error,
CA1512,Use ArgumentOutOfRangeException throw helper,.NET Quality,Maintainability,Error,
CA1513,Use ObjectDisposedException throw helper,.NET Quality,Maintainability,Error,
CA1514,Avoid redundant length argument,.NET Quality,Maintainability,Error,
CA1515,Consider making public types internal,.NET Quality,Maintainability,Error,
CA1700,Do not name enum values 'Reserved',.NET Quality,Naming,Error,
CA1704,Identifiers should be spelled correctly,.NET Quality,Naming,Hidden,Undocumented and covered by typos linter
CA1707,Identifiers should not contain underscores,.NET Quality,Naming,Error,
CA1708,Identifiers should differ by more than case,.NET Quality,Naming,Error,
CA1710,Identifiers should have correct suffix,.NET Quality,Naming,Error,
CA1711,Identifiers should not have incorrect suffix,.NET Quality,Naming,Error,
CA1712,Do not prefix enum values with type name,.NET Quality,Naming,Error,
CA1713,Events should not have 'Before' or 'After' prefix,.NET Quality,Naming,Error,
CA1714,Flags enums should have plural names,.NET Quality,Naming,Error,
CA1715,Identifiers should have correct prefix,.NET Quality,Naming,Error,
CA1716,Identifiers should not match keywords,.NET Quality,Naming,Disabled,
CA1717,Only FlagsAttribute enums should have plural names,.NET Quality,Naming,Error,
CA1720,Identifier contains type name,.NET Quality,Naming,Disabled,
CA1721,Property names should not match get methods,.NET Quality,Naming,Error,
CA1724,Type names should not match namespaces,.NET Quality,Naming,Error,
CA1725,Parameter names should match base declaration,.NET Quality,Naming,Error,
CA1727,Use PascalCase for named placeholders,.NET Quality,Naming,Error,
CA1802,Use literals where appropriate,.NET Quality,Performance,Error,
CA1805,Do not initialize unnecessarily,.NET Quality,Performance,Error,
CA1806,Do not ignore method results,.NET Quality,Performance,Error,
CA1810,Initialize reference type static fields inline,.NET Quality,Performance,Error,
CA1812,Avoid uninstantiated internal classes,.NET Quality,Performance,Disabled,
CA1813,Avoid unsealed attributes,.NET Quality,Performance,Error,
CA1814,Prefer jagged arrays over multidimensional,.NET Quality,Performance,Error,
CA1815,Override equals and operator equals on value types,.NET Quality,Performance,Error,
CA1819,Properties should not return arrays,.NET Quality,Performance,Error,
CA1820,Test for empty strings using string length,.NET Quality,Performance,Error,
CA1821,Remove empty Finalizers,.NET Quality,Performance,Error,
CA1822,Mark members as static,.NET Quality,Performance,Error,
CA1823,Avoid unused private fields,.NET Quality,Performance,Error,
CA1824,Mark assemblies with NeutralResourcesLanguageAttribute,.NET Quality,Performance,Error,
CA1825,Avoid zero-length array allocations,.NET Quality,Performance,Error,
