Action,RuleSet,Name,Default,Value,Reasoning
None,.NET Style,csharp_indent_block_contents,true,true,
None,.NET Style,csharp_indent_braces,false,false,
None,.NET Style,csharp_indent_case_contents,true,true,
None,.NET Style,csharp_indent_case_contents_when_block,true,true,
None,.NET Style,csharp_indent_labels,one_less_than_current,one_less_than_current,
None,.NET Style,csharp_indent_switch_labels,true,true,
None,.NET Style,csharp_new_line_before_catch,true,true,
None,.NET Style,csharp_new_line_before_else,true,true,
None,.NET Style,csharp_new_line_before_finally,true,true,
None,.NET Style,csharp_new_line_before_members_in_anonymous_types,true,true,
None,.NET Style,csharp_new_line_before_members_in_object_initializers,true,true,
None,.NET Style,csharp_new_line_before_open_brace,all,all,
None,.NET Style,csharp_new_line_between_query_expression_clauses,true,true,
None,.NET Style,csharp_prefer_braces,true,true,
None,.NET Style,csharp_prefer_simple_default_expression,true,true,
None,.NET Style,csharp_prefer_simple_using_statement,true,true,
None,.NET Style,csharp_prefer_static_anonymous_function,true,true,
None,.NET Style,csharp_prefer_static_local_function,true:suggestion,true,
None,.NET Style,csharp_prefer_system_threading_lock,true,true,
None,.NET Style,csharp_preferred_modifier_order,"public, private, protected, internal, file, static, extern, new, virtual, abstract, sealed, override, readonly, unsafe, required, volatile, async","public,private,protected,internal,static,extern,new,virtual,abstract,sealed,override,readonly,unsafe,volatile,async",
None,.NET Style,csharp_preserve_single_line_blocks,true,true,
None,.NET Style,csharp_preserve_single_line_statements,true,false,
None,.NET Style,csharp_space_after_cast,false,false,
None,.NET Style,csharp_space_after_colon_in_inheritance_clause,true,true,
None,.NET Style,csharp_space_after_comma,true,true,
None,.NET Style,csharp_space_after_dot,false,false,
None,.NET Style,csharp_space_after_keywords_in_control_flow_statements,true,true,
None,.NET Style,csharp_space_after_semicolon_in_for_statement,true,true,
None,.NET Style,csharp_space_around_binary_operators,before_and_after,before_and_after,
None,.NET Style,csharp_space_around_declaration_statements,false,false,
None,.NET Style,csharp_space_before_colon_in_inheritance_clause,true,true,
None,.NET Style,csharp_space_before_comma,false,false,
None,.NET Style,csharp_space_before_dot,false,false,
None,.NET Style,csharp_space_before_open_square_brackets,false,false,
None,.NET Style,csharp_space_before_semicolon_in_for_statement,false,false,
None,.NET Style,csharp_space_between_empty_square_brackets,false,false,
None,.NET Style,csharp_space_between_method_call_empty_parameter_list_parentheses,false,false,
None,.NET Style,csharp_space_between_method_call_name_and_opening_parenthesis,false,false,
None,.NET Style,csharp_space_between_method_call_parameter_list_parentheses,false,false,
None,.NET Style,csharp_space_between_method_declaration_empty_parameter_list_parentheses,false,false,
None,.NET Style,csharp_space_between_method_declaration_name_and_open_parenthesis,false,false,
None,.NET Style,csharp_space_between_method_declaration_parameter_list_parentheses,false,false,
None,.NET Style,csharp_space_between_parentheses,false,false,
None,.NET Style,csharp_space_between_square_brackets,false,false,
None,.NET Style,csharp_style_allow_blank_line_after_colon_in_constructor_initializer_experimental,true,false,
None,.NET Style,csharp_style_allow_blank_line_after_token_in_arrow_expression_clause_experimental,true,false,
None,.NET Style,csharp_style_allow_blank_line_after_token_in_conditional_expression_experimental,true,false,
None,.NET Style,csharp_style_allow_blank_lines_between_consecutive_braces_experimental,true,false,
None,.NET Style,csharp_style_allow_embedded_statements_on_same_line_experimental,true,false,
None,.NET Style,csharp_style_conditional_delegate_call,true,true,
None,.NET Style,csharp_style_deconstructed_variable_declaration,true,true,
None,.NET Style,csharp_style_expression_bodied_accessors,true,true,
None,.NET Style,csharp_style_expression_bodied_constructors,false,true,
None,.NET Style,csharp_style_expression_bodied_indexers,true,true,
